GeneSymbol	Slide1_001	Slide5_005	Slide1_004	Slide8_001	Slide3_009	Slide6_003	Slide5_004	Slide3_008	Slide7_001	Slide8_006	Slide1_008	Slide2_003	Slide7_007	Slide3_010	Slide2_001	Slide5_003	Slide5_006	Slide3_006	Slide1_009	Slide5_001	Slide1_002	Slide1_007	Slide6_004	Slide8_005	Slide7_004	Slide3_001	Slide7_003	Slide7_005	Slide1_003	Slide7_008	Slide2_004	Slide8_002	Slide1_006	Slide8_004	Slide3_005	Slide3_002	Slide6_005	Slide6_006	Slide2_002	Slide4_004
IDH1	0.648	0.028	1.004	0.016	0.02	0.076	0.004	0.012	0.852	0.036	1.32	0.072	0.036	0.04	0.024	0.04	0.02	0.016	0.24	0.028	1.092	0.884	0.04	0.008	0.264	0.024	1.316	0.032	0.032	0.016	0.052	0.036	0.208	0.024	0.02	0.008	0.028	0.02	0.04	0.012
BAX	0.42	0.012	1.132	0.012	0.012	0.028	0.008	0.012	0.94	0.016	1.248	0.036	0.048	0.02	0.028	0.02	0.008	0.016	0.152	0.02	0.736	0.668	0.016	0.004	0.22	0.02	1.392	0.044	0.036	0.016	0.012	0.04	0.064	0.028	0.028	0.016	0.02	0.032	0.024	0.024
GATA3	0.824	0.028	1.66	0.016	0.048	0.032	0.028	0.024	1.212	0.02	1.98	0.044	0.048	0.02	0.016	0.032	0.016	0.02	0.616	0.016	1.604	1.232	0.008	0.004	0.212	0.032	0.984	0.04	0.116	0.032	0.036	0.008	0.272	0.028	0.02	0.032	0.004	0.02	0.02	0.012
DDIT3	0.148	0.02	0.4	0.016	0.024	0.036	0	0.008	0.556	0.008	0.712	0.044	0.036	0.024	0.024	0.016	0.004	0.052	0.076	0.004	0.316	0.32	0.004	0.008	0.188	0.012	0.668	0.056	0.012	0.028	0.032	0.024	0.044	0.024	0.024	0.02	0	0.016	0.012	0.008
CD5	0.004	0	0.012	0.004	0.004	0.004	0	0.004	0.032	0.004	0.024	0.004	0	0.004	0	0.004	0	0.004	0.008	0	0.016	0.012	0	0	0.016	0	0.084	0.012	0	0	0	0	0	0	0	0	0.004	0	0.008	0.004
PTPRC	0.348	0.008	0.296	0	0.016	0.012	0	0.012	0.808	0.008	0.288	0.024	0.056	0.024	0.024	0.008	0.02	0.028	0.084	0.008	0.316	0.352	0.02	0.008	0.228	0.012	1.2	0.06	0.016	0.052	0.008	0.032	0.08	0.016	0.012	0.016	0.008	0.012	0.008	0.012
CTNNB1	0.896	0.012	1.996	0.012	0.088	0.088	0.024	0.056	1.768	0.04	2.404	0.048	0.08	0.06	0.028	0.016	0.016	0.056	0.464	0.008	1.536	1.688	0.02	0.028	0.416	0.044	2.084	0.112	0.232	0.048	0.02	0.012	0.312	0.032	0.024	0.028	0.032	0.06	0.012	0.012
BIRC5	1.38	0.028	2.636	0.004	0.052	0.04	0.016	0.04	2.016	0.056	2.6	0.108	0.104	0.064	0.036	0.016	0.028	0.076	0.264	0.036	1.368	1.612	0.004	0.032	0.788	0.032	3.62	0.148	0.116	0.176	0.06	0.04	0.204	0.052	0.088	0.048	0.004	0.032	0.032	0.012
ATR	0.064	0.008	0.248	0	0.024	0.016	0.008	0.012	0.224	0.008	0.34	0.028	0.02	0.008	0	0.004	0.004	0	0.036	0.012	0.196	0.152	0.008	0	0.088	0.008	0.3	0.008	0.012	0.008	0.008	0	0.028	0.008	0.008	0	0.004	0.012	0.004	0
EZH2	0.276	0.016	0.584	0.004	0.012	0.016	0	0.012	0.468	0.016	0.552	0.016	0.04	0.008	0.024	0.012	0.016	0.016	0.08	0.004	0.532	0.22	0.008	0.012	0.092	0.016	0.652	0.028	0.048	0.012	0.016	0	0.04	0.02	0.004	0	0.016	0.012	0.016	0
CD8A	0.06	0.004	0.156	0	0.008	0.008	0	0.008	0.112	0.004	0.176	0.016	0.004	0.016	0.004	0	0	0.008	0.004	0.004	0.044	0.124	0	0	0.04	0	0.108	0.016	0.008	0	0.004	0	0.024	0.004	0	0	0	0.004	0.008	0.008
BRCA1	0.088	0	0.184	0	0.008	0.04	0	0.008	0.148	0.02	0.12	0.056	0.008	0.004	0.008	0.004	0.004	0.008	0.04	0.008	0.128	0.032	0.008	0.004	0.072	0.004	0.192	0.004	0.02	0.004	0.004	0.004	0.012	0.02	0	0.008	0	0.004	0.016	0
COL11A1	0.476	0	0.432	0	0.012	0.024	0.004	0.008	0.636	0.004	0.312	0.012	0.008	0.02	0.008	0.004	0	0.004	0.04	0.008	0.2	0.636	0.004	0.004	0.072	0.016	0.668	0.024	0.032	0.008	0	0.012	0.06	0.004	0.012	0	0	0.008	0.004	0.008
TAP1	0.376	0	0.824	0.012	0.016	0.02	0.008	0.02	0.724	0.016	0.64	0.024	0.032	0.012	0.016	0.016	0.004	0.012	0.064	0.008	0.524	0.82	0.008	0	0.316	0.012	1.556	0.092	0.04	0.032	0.012	0.02	0.068	0.02	0.04	0.024	0.012	0.004	0.012	0.004
PKIB	0.236	0	0.656	0	0.04	0.024	0.016	0.052	0.188	0.004	0.46	0.024	0.012	0.048	0.024	0.032	0.012	0.012	0.076	0.032	0.188	0.288	0.008	0	0.036	0.048	0.264	0.008	0.056	0.032	0.02	0.024	0.112	0.036	0.04	0.044	0.008	0.012	0.02	0.032
IRF5	0.14	0.004	0.48	0.016	0.024	0.028	0	0.008	0.452	0.016	0.94	0.032	0.028	0.012	0.012	0.024	0.008	0.012	0.06	0.004	0.472	0.356	0.004	0.012	0.168	0.012	0.776	0.032	0.016	0.04	0.016	0.02	0.096	0.032	0.048	0	0.02	0.024	0.016	0.02
NF1	0.32	0.02	0.816	0	0.02	0.016	0.008	0.02	0.68	0.016	1.208	0.04	0.004	0.012	0.012	0.012	0.012	0.02	0.144	0.012	0.592	0.568	0.004	0.008	0.24	0.004	0.88	0.052	0.092	0.024	0.024	0.004	0.076	0.012	0.008	0.008	0.012	0.016	0.012	0.016
EPHA2	0.12	0	0.152	0	0	0.012	0.004	0.004	0.044	0.004	0.104	0.008	0.004	0	0.004	0	0	0.004	0.028	0.004	0.072	0.036	0	0.004	0.016	0	0.064	0.012	0.004	0.004	0	0.012	0	0.008	0.008	0	0.008	0.008	0.008	0
TGFBR2	0.468	0	0.712	0.012	0.008	0.084	0.008	0.016	0.656	0.016	0.572	0.04	0.024	0.012	0.012	0.004	0.008	0.004	0.096	0.008	0.532	0.304	0.016	0.024	0.148	0.008	0.792	0.048	0.024	0.016	0.008	0	0.024	0.012	0.016	0	0.004	0.004	0.008	0.008
FGF1	0.112	0	0.248	0	0.008	0	0	0.012	0.096	0.004	0.124	0.02	0.004	0.016	0.008	0.008	0.004	0.008	0.028	0.008	0.128	0.044	0.012	0.008	0.032	0.02	0.216	0.012	0.016	0	0.004	0.004	0.008	0.008	0.012	0.012	0.004	0.008	0.004	0.008
MFAP5	0.056	0	0.132	0	0.008	0	0	0.008	0.116	0.004	0.06	0.016	0.012	0.004	0.008	0	0	0	0.016	0.004	0	0.092	0	0	0	0	0.156	0.012	0.016	0	0	0.008	0.008	0.012	0.004	0	0	0	0.008	0
FOXM1	0.196	0.016	0.272	0	0.004	0	0.004	0.008	0.4	0	0.608	0.024	0.02	0.004	0.012	0	0	0.056	0.04	0.012	0.104	0.124	0.012	0.004	0.152	0.012	0.676	0.036	0.004	0.028	0.004	0.016	0.032	0.004	0.02	0.004	0.004	0.012	0.004	0.004
HLA.DRB1	7.264	0.136	15.62	0.08	0.32	0.496	0.056	0.176	17.472	0.256	14.788	0.888	1.016	0.24	0.392	0.26	0.176	0.344	2.208	0.172	17.088	10.704	0.272	0.164	6.544	0.224	36.072	1.556	0.572	1.16	0.224	0.388	1.316	0.26	0.34	0.36	0.212	0.22	0.516	0.22
FCER2	0.024	0	0.124	0.004	0.004	0.024	0	0.004	0.04	0.008	0.072	0.032	0	0.008	0	0.004	0	0.012	0.004	0.008	0.072	0.08	0.008	0	0.036	0	0.156	0.016	0.004	0	0.004	0	0.008	0.008	0.02	0.004	0	0.004	0.004	0
CLEC4C	0.04	0.004	0.192	0.008	0.028	0.012	0.012	0.012	0.092	0	0.24	0.016	0.012	0.008	0.008	0.004	0.004	0.004	0.032	0.004	0.172	0.148	0.004	0.008	0.016	0	0.048	0.008	0.024	0	0.02	0.004	0	0.004	0.008	0.008	0.008	0.012	0.008	0.008
TLR9	0.064	0	0.148	0	0.016	0.024	0.004	0.02	0.176	0.004	0.128	0.016	0.012	0.012	0.016	0.008	0	0.012	0.008	0	0.108	0.06	0	0.012	0.064	0.008	0.268	0.02	0.012	0.016	0.012	0.032	0	0.008	0.012	0.004	0	0.004	0.008	0.008
STAT1	1.936	0.02	6.08	0.012	0.04	0.04	0.008	0.04	2.748	0.08	5.524	0.036	0.244	0.032	0.04	0.024	0.008	0.08	0.304	0.008	3.16	4.084	0.008	0.024	1.296	0.04	6.2	0.268	0.124	0.284	0.048	0.048	0.472	0.028	0.128	0.104	0.012	0.016	0.008	0.024
CCL28	0.068	0.004	0.12	0.028	0.012	0.016	0.008	0.012	0.184	0.08	0.124	0.044	0.008	0.028	0.012	0	0	0.02	0.032	0.016	0.112	0.148	0.012	0.004	0.028	0.012	0.24	0.016	0.004	0.004	0.028	0.016	0.016	0.024	0.024	0.004	0.012	0.012	0.024	0.008
TGM2	0.596	0	0.6	0.004	0.02	0.044	0	0.012	0.76	0.024	0.664	0.044	0.012	0.008	0.008	0.028	0.008	0.036	0.06	0.008	0.236	0.688	0.024	0.016	0.248	0.012	0.904	0.064	0.032	0.048	0	0.02	0.04	0.02	0.032	0.012	0.012	0.004	0.016	0.004
MUC2	0.084	0	0.1	0.016	0.032	0.02	0	0.008	0.08	0.004	0.228	0.036	0.012	0.012	0.008	0.008	0	0.024	0.016	0.004	0.176	0.132	0.016	0.008	0.088	0.008	0.236	0.016	0.016	0.008	0	0.024	0.02	0.016	0.008	0.012	0.012	0.008	0.012	0
SOD2	0.904	0.02	2.512	0.028	0.036	0.08	0.024	0.06	11.132	0.112	2.36	0.34	0.196	0.028	0.072	0.024	0.012	0.068	0.184	0.052	1.364	2.512	0.084	0.024	1.852	0.024	7.132	0.444	0.048	0.236	0.064	0.176	0.18	0.056	0.096	0.048	0.068	0.056	0.068	0.02
CR2	0.024	0.012	0.268	0.012	0.02	0.012	0.004	0	0.12	0.004	0.064	0.016	0.012	0	0	0.012	0.008	0.008	0.008	0.012	0.092	0.12	0.012	0	0.032	0	0.192	0.016	0.008	0.02	0	0.008	0.004	0	0.004	0.012	0.008	0.008	0.02	0.004
IFNGR1	0.688	0.024	1.704	0.028	0.052	0.088	0.012	0.04	2.616	0.032	1.04	0.06	0.124	0.044	0.04	0.052	0.024	0.02	0.152	0.02	0.68	1.308	0.016	0.032	0.804	0.028	3.66	0.18	0.048	0.124	0.048	0.036	0.124	0.036	0.028	0.012	0.024	0.032	0.028	0.02
XCL1	0.104	0.004	0.2	0.028	0.016	0.028	0	0.04	0.092	0.024	0.128	0.024	0	0.032	0.012	0.004	0.004	0.028	0.028	0.012	0.1	0.152	0	0.004	0.092	0.004	0.272	0.016	0.008	0.02	0.008	0.004	0.016	0.032	0.028	0.012	0.004	0.008	0.012	0.024
SH2D1B	0.048	0	0.144	0.008	0.024	0.008	0.004	0.004	0.144	0.004	0.148	0.02	0.004	0.02	0.008	0	0.004	0.02	0.032	0.008	0.12	0.128	0.008	0	0.04	0.012	0.208	0.004	0.016	0.004	0.008	0	0.016	0.024	0.012	0.008	0.004	0	0.004	0.004
ADAMTS4	0.036	0.004	0.104	0	0	0.008	0.004	0.012	0.148	0.008	0.084	0.008	0.008	0.008	0.004	0.004	0	0.004	0	0.004	0.052	0.044	0	0.012	0.072	0	0.144	0.024	0	0.008	0	0.004	0.008	0	0.004	0.004	0.004	0.004	0.012	0.004
FCER1A	0.004	0	0.004	0.004	0	0	0.008	0	0.024	0	0.028	0	0.004	0	0	0.004	0	0.004	0.012	0.008	0	0.004	0	0	0.008	0.004	0.024	0.004	0.004	0.008	0	0.004	0	0	0.004	0	0	0.004	0	0
CD1E	0	0	0.008	0.004	0.008	0.004	0	0.008	0.028	0.004	0.052	0.008	0.004	0.004	0	0	0.008	0.012	0	0.004	0.012	0.02	0	0	0.016	0	0.084	0	0.016	0.004	0.008	0.008	0.008	0.012	0.004	0.008	0	0.008	0	0.008
CD1B	0.004	0	0.004	0.004	0.004	0	0	0.004	0.052	0.012	0.032	0.004	0.004	0.004	0	0	0	0.004	0.008	0.004	0	0.008	0	0	0.036	0	0.148	0.012	0	0.008	0	0	0	0.004	0	0	0.008	0	0	0.004
LMNA	1.008	0.02	1.972	0.06	0.052	0.064	0.012	0.028	1.596	0.048	1.708	0.088	0.112	0.02	0.064	0.024	0.02	0.044	0.296	0.02	0.96	1.06	0.024	0.056	0.472	0.02	2.568	0.1	0.064	0.064	0.052	0.056	0.192	0.056	0.016	0.016	0.016	0.032	0.036	0.04
IL6R	0.104	0.004	0.068	0.028	0.024	0.02	0.012	0.008	0.312	0.02	0.132	0.008	0.012	0.024	0.004	0.008	0.004	0.004	0.048	0.008	0.172	0.096	0.004	0.004	0.1	0.012	0.68	0.016	0.004	0.024	0.004	0.02	0.012	0.008	0.02	0.012	0	0.008	0.008	0.012
MKI67	0.34	0	0.416	0.008	0	0	0.008	0.004	0.404	0	0.712	0.032	0.016	0.028	0.016	0.012	0.008	0.004	0.104	0	0.276	0.352	0	0.004	0.152	0.016	0.796	0.04	0.02	0.02	0.008	0.016	0.06	0.012	0.016	0	0.004	0.008	0.008	0.004
S100A9	0.14	0.028	0.744	0.02	0.016	0.048	0.016	0.008	0.452	0.06	1.088	0.056	0.008	0.024	0.024	0.032	0.008	0.048	0.068	0.04	0.832	0.788	0.02	0.012	0.06	0.032	0.356	0.008	0.068	0.008	0.016	0.032	0.044	0.024	0.008	0.016	0.08	0.048	0.028	0.02
CD2	0.016	0	0.028	0	0	0	0	0.004	0.036	0	0.008	0	0.008	0	0	0	0	0	0.008	0	0.012	0.02	0	0	0.012	0	0.104	0.004	0	0.004	0	0	0	0	0	0	0	0.012	0	0
NRAS	0.344	0.024	0.768	0.024	0.008	0.02	0	0.008	0.736	0.02	0.816	0.056	0.044	0.024	0.008	0.028	0	0.02	0.164	0.008	0.512	0.468	0.012	0.008	0.196	0.008	0.952	0.024	0.04	0.024	0.02	0.024	0.076	0.024	0.016	0.012	0.004	0.008	0.012	0.008
VCAM1	0.108	0	0.084	0	0.012	0	0	0	0.3	0.008	0.028	0.008	0.032	0.004	0	0.008	0.004	0.048	0.012	0	0.072	0.156	0	0.008	0.104	0	0.396	0.032	0.004	0.02	0	0.004	0	0.012	0.008	0.008	0.004	0.004	0.004	0.012
CD40LG	0.004	0	0.032	0	0	0	0	0.004	0.028	0	0.012	0.008	0	0.004	0.008	0.004	0	0.004	0.012	0	0.036	0	0	0	0.008	0.004	0.048	0	0.004	0	0	0	0	0	0	0	0	0	0.004	0.004
JUN	0.336	0.004	0.78	0.012	0.044	0.016	0.012	0.004	0.568	0.024	0.992	0.176	0.008	0.028	0.02	0.012	0	0.008	0.116	0.012	0.496	0.364	0.008	0.004	0.16	0.008	0.68	0.02	0.036	0.048	0.016	0.012	0.032	0.016	0.012	0.008	0.024	0.02	0.016	0.016
AURKA	0.124	0.008	0.344	0	0.004	0.016	0	0.012	0.468	0.036	0.28	0.028	0.02	0.024	0.02	0.012	0.016	0.02	0.04	0	0.26	0.244	0.004	0	0.116	0.02	0.744	0.024	0.004	0.012	0.004	0	0.02	0.036	0.02	0.016	0.004	0.004	0.012	0.008
COL5A1	0.336	0.028	0.604	0.02	0.048	0.036	0.016	0.004	0.864	0.02	0.304	0.044	0.028	0.016	0.008	0.016	0.024	0.008	0.108	0.052	0.232	0.612	0.04	0.004	0.332	0.02	1.484	0.032	0.04	0.02	0.012	0.012	0.032	0.04	0.008	0.008	0.024	0.008	0.024	0.008
PTEN	0.26	0.008	0.848	0.004	0.016	0.032	0.02	0.012	0.504	0.028	0.452	0.016	0.036	0.024	0.016	0.008	0	0.008	0.1	0	0.396	0.392	0.012	0.008	0.14	0.008	0.964	0.016	0.02	0.028	0.016	0.028	0.052	0.008	0.04	0.02	0.032	0.02	0.032	0.004
MMRN2	0.004	0	0.032	0.004	0.016	0.008	0	0	0.044	0	0.044	0.008	0	0.004	0.004	0	0	0	0.004	0.008	0.048	0.04	0	0	0.012	0	0.032	0.008	0	0.004	0.004	0	0	0.004	0.008	0	0	0	0.008	0.012
VEGFA	0.528	0.02	1.32	0.036	0.196	0.124	0.024	0.1	0.988	0.044	1.32	0.108	0.048	0.144	0.06	0.02	0.02	0.06	0.148	0.024	1.38	0.764	0.048	0.036	0.428	0.116	1.6	0.124	0.032	0.104	0.024	0.036	0.112	0.052	0.076	0.068	0.024	0.032	0.036	0.02
CD40	0.136	0.008	0.408	0.004	0.012	0.012	0	0.004	0.348	0.028	0.06	0.048	0.024	0.004	0.012	0.008	0.02	0.02	0.028	0.008	0.264	0.292	0	0.004	0.26	0.008	0.82	0.048	0.008	0.04	0.004	0.016	0	0.016	0.032	0.012	0	0.008	0.012	0.004
MMP9	0.316	0.008	0.676	0.024	0.032	0.08	0.016	0.012	11.204	0.036	0.252	0.092	1.012	0.024	0.02	0.016	0.016	0.072	0.908	0.044	0.376	0.936	0.048	0.076	6.624	0.02	28.532	1.236	0.044	1.172	0.032	0.216	0.048	0.084	0.056	0.064	0.064	0.044	0.048	0.024
TREM2	1.592	0.036	3.66	0.044	0.14	0.096	0.02	0.092	0.904	0.056	2.288	0.204	0.068	0.1	0.084	0.076	0.028	0.092	0.704	0.068	2.008	1.536	0.012	0.06	0.292	0.1	2.272	0.104	0.144	0.092	0.072	0.088	0.128	0.108	0.08	0.04	0.048	0.06	0.096	0.072
MAFB	0.468	0.012	1.624	0.056	0.064	0.076	0.02	0.02	1.224	0.076	0.732	0.24	0.112	0.12	0.04	0.028	0.016	0.036	0.192	0.04	0.912	0.964	0.02	0.048	0.296	0.02	2.02	0.1	0.056	0.088	0.052	0.02	0.16	0.096	0.08	0.028	0.036	0.052	0.068	0.008
HDAC1	0.204	0.004	0.412	0	0.016	0.008	0.016	0.004	0.468	0.016	0.584	0.028	0.032	0.012	0.004	0.016	0.008	0.004	0.136	0.004	0.464	0.272	0.012	0.008	0.108	0.012	0.64	0.028	0.028	0.024	0.008	0.012	0.084	0.016	0.008	0.008	0.016	0.008	0.02	0.004
CXCR3	0	0	0.008	0.004	0.004	0	0	0	0.028	0	0.008	0.004	0	0	0	0	0	0	0	0	0	0	0.004	0	0.012	0	0.032	0.004	0	0	0.004	0.004	0.004	0	0.004	0	0.004	0	0	0
DKK1	0.108	0	0.288	0.012	0.016	0.036	0	0.004	0.48	0.028	0.22	0.008	0.024	0.012	0.028	0.016	0	0.036	0.048	0.004	0.156	0.252	0.012	0.02	0.2	0.02	0.632	0.044	0.004	0.044	0.004	0.008	0.028	0.024	0.036	0.02	0.008	0.02	0.016	0.02
BAK1	0.212	0.004	0.516	0.02	0.008	0.044	0.016	0.02	0.772	0.024	0.648	0.04	0.032	0.024	0.016	0.012	0.016	0.016	0.084	0.004	0.392	0.26	0.016	0.012	0.232	0.012	0.896	0.032	0.008	0.04	0.016	0.024	0.032	0.032	0.016	0.016	0.012	0.016	0.012	0.012
CD28	0.052	0	0.136	0.004	0	0	0	0.004	0.076	0	0.056	0.008	0.016	0.004	0.004	0	0.008	0.008	0.032	0	0.056	0.056	0	0.004	0.012	0.004	0.12	0.004	0	0.004	0.008	0	0.012	0.008	0	0.008	0	0.004	0	0.004
C1QC	7.864	0.02	20.244	0.044	0.168	0.724	0.008	0.064	12.624	0.184	14.116	1.172	0.532	0.16	0.336	0.128	0.036	0.14	3.272	0.092	24.712	11.004	0.156	0.16	2.184	0.128	16.968	0.928	0.484	0.38	0.24	0.136	1.296	0.152	0.148	0.12	0.168	0.112	0.348	0.04
HLA.DMA	1.264	0.02	3.396	0.02	0.064	0.104	0.024	0.016	2.816	0.052	2.924	0.064	0.176	0.044	0.052	0.044	0.052	0.036	0.388	0.02	2.432	1.528	0.036	0.036	0.916	0.024	5.108	0.168	0.096	0.14	0.044	0.076	0.212	0.028	0.024	0.024	0.04	0.016	0.112	0.044
NRP1	0.908	0.024	1.84	0.024	0.068	0.144	0.004	0.028	1.372	0.044	1.172	0.064	0.056	0.028	0.064	0.044	0.008	0.04	0.24	0.028	2.792	0.924	0.044	0.02	0.26	0.04	1.396	0.1	0.056	0.064	0.024	0.044	0.22	0.04	0.024	0.036	0.044	0.016	0.024	0.028
TAP2	0.208	0.004	0.376	0	0.008	0.016	0.004	0.008	0.38	0.02	0.3	0.048	0.008	0.024	0.012	0.008	0.012	0.008	0.024	0.004	0.152	0.46	0.004	0	0.204	0.004	0.596	0.028	0.016	0.02	0.012	0.004	0.04	0.012	0.008	0.004	0.012	0.004	0.016	0.004
TGFBR1	0.48	0.008	1.368	0	0.052	0.012	0.012	0.052	0.62	0.02	1.012	0.06	0.028	0.028	0.012	0.012	0.008	0.012	0.168	0.012	0.796	0.56	0.008	0.008	0.108	0.028	0.476	0.02	0.044	0.012	0.02	0.032	0.116	0.024	0.024	0.004	0.012	0.012	0.008	0.008
PLA2G2A	0.084	0.012	0.216	0.02	0.036	0.284	0.008	0.012	0.16	0.032	0.232	0.032	0.008	0.02	0.012	0.016	0.008	0.02	0.024	0.012	0.132	0.124	0.076	0.008	0.044	0.016	0.264	0.028	0	0.024	0.012	0.012	0.016	0.044	0.02	0.024	0.02	0.108	0.032	0.004
COL4A1	0.348	0.004	0.552	0	0.016	0	0.008	0.008	0.6	0.004	0.728	0.02	0.036	0.012	0.008	0.016	0	0.008	0.076	0	0.68	0.34	0	0.004	0.22	0.004	1.148	0.004	0.02	0.024	0.016	0.004	0.076	0.012	0.012	0.012	0.008	0	0.008	0.012
NCR3	0.056	0	0.168	0	0.008	0.02	0	0	0.076	0.004	0.116	0.02	0.008	0.008	0.012	0.008	0.004	0	0.008	0.004	0.04	0.044	0.004	0	0.008	0	0.112	0.008	0.016	0.004	0.008	0.008	0	0	0.004	0	0.004	0.008	0.008	0.004
FOXP3	0.008	0	0.068	0.004	0	0.008	0	0	0.04	0	0.04	0.008	0	0	0.008	0	0	0	0	0	0.056	0.032	0	0	0.008	0	0.088	0.004	0	0	0	0	0	0.004	0	0	0	0	0	0
HLA.C	1.324	0.032	3.984	0.016	0.036	0.072	0.008	0.016	3.212	0.012	3.736	0.052	0.18	0.048	0.044	0.024	0.028	0.076	0.328	0.04	3.06	2.428	0.044	0.056	0.844	0.024	5.592	0.184	0.152	0.252	0.02	0.056	0.236	0.076	0.064	0.064	0.024	0.02	0.016	0.008
BMI1	0.244	0.016	0.62	0.028	0.012	0.044	0.016	0	0.268	0.028	0.532	0.06	0.012	0.008	0.02	0.012	0.016	0.008	0.068	0.012	0.436	0.436	0.008	0.008	0.116	0.004	0.672	0.032	0.02	0.024	0.016	0.012	0.044	0.008	0.016	0.004	0.008	0.008	0.016	0.004
MTOR	0.164	0.008	0.2	0.008	0.008	0.02	0.008	0	0.228	0.004	0.152	0.012	0.02	0.008	0.004	0.004	0	0.016	0.056	0.008	0.2	0.14	0	0.004	0.052	0.02	0.416	0.016	0.008	0.024	0.012	0.008	0.024	0.004	0.004	0.004	0.016	0.004	0.012	0.004
THBD	0.488	0.012	0.568	0.032	0.028	0.092	0.016	0.02	0.856	0.016	0.324	0.08	0.056	0.032	0.048	0.024	0.012	0.072	0.232	0.02	0.58	0.548	0.02	0.016	0.324	0.048	1.068	0.056	0.088	0.04	0.024	0.048	0.036	0.04	0.06	0.032	0.012	0.028	0.056	0.02
MYC	0.468	0.008	1.124	0.004	0.008	0.012	0.012	0.004	1.924	0.028	0.808	0.08	0.096	0.016	0.012	0.008	0	0.008	0.184	0.008	0.616	0.688	0.012	0	0.536	0.016	2.42	0.156	0.032	0.108	0.012	0.04	0.06	0.012	0.012	0.016	0.008	0.012	0.02	0.008
KITLG	0.192	0.004	0.272	0.016	0.016	0.012	0.004	0.004	0.412	0.016	0.16	0.048	0.004	0.016	0.016	0.008	0.008	0.016	0.008	0.004	0.2	0.128	0.02	0.024	0.092	0	0.332	0.028	0.012	0.032	0.004	0.008	0.04	0.024	0.016	0.024	0.008	0.008	0.02	0.008
CYBB	1.928	0.028	4.776	0.036	0.116	0.2	0.02	0.036	5.776	0.12	3.924	0.096	0.288	0.112	0.052	0.012	0.02	0.056	0.632	0.028	5.68	2.584	0.028	0.024	1.744	0.096	6.012	0.26	0.176	0.232	0.02	0.04	0.4	0.048	0.056	0.084	0.052	0.02	0.08	0.024
PCNA	0.404	0.016	0.956	0.024	0.016	0.032	0.008	0.008	0.908	0.016	0.808	0.04	0.036	0.016	0.036	0.004	0.012	0.016	0.132	0.004	0.46	0.372	0.016	0	0.5	0.012	1.884	0.076	0.048	0.064	0.024	0.028	0.08	0.008	0.04	0.004	0.012	0.012	0.024	0.024
CD83	0.196	0.02	0.752	0	0.012	0.032	0.012	0.028	0.584	0.004	1.184	0.024	0.032	0.02	0.016	0.04	0.004	0.012	0.104	0.02	0.388	0.448	0.02	0.02	0.256	0.008	1.176	0.036	0.028	0.092	0.012	0.016	0.1	0.012	0.016	0.012	0.004	0.012	0.004	0.008
TNFRSF4	0.076	0	0.212	0	0.004	0.008	0	0.008	0.308	0	0.068	0.008	0.004	0	0.008	0.008	0.004	0.012	0.004	0.004	0.144	0.056	0.008	0.004	0.084	0.004	0.388	0.02	0.012	0.008	0	0.008	0	0.012	0.008	0	0.008	0.004	0.004	0
TNFRSF18	0.06	0.004	0.064	0	0.008	0.012	0	0	0.132	0.012	0.1	0.016	0.008	0.016	0	0.004	0.004	0	0.016	0.008	0.06	0.068	0	0	0.036	0.004	0.24	0.004	0	0	0	0.008	0.012	0	0.004	0.008	0	0.004	0.008	0
LDHA	2.5	0.04	7.556	0.076	0.1	0.304	0.028	0.056	5.12	0.132	5.944	0.112	0.192	0.1	0.068	0.076	0.036	0.084	1.232	0.064	3.756	4.464	0.076	0.08	1.744	0.056	6.428	0.34	0.476	0.248	0.028	0.096	0.768	0.124	0.056	0.072	0.084	0.112	0.048	0.016
IL2RA	0.176	0.008	0.652	0.012	0.032	0.036	0.008	0.028	0.484	0.02	0.4	0.04	0.06	0.008	0.04	0.004	0	0.032	0.016	0.004	0.3	0.288	0.02	0.008	0.304	0.012	1.252	0.1	0.004	0.072	0.004	0.028	0.016	0.028	0.02	0.004	0.02	0.016	0.012	0.008
ELN	0.304	0.004	0.476	0.028	0.052	0.076	0	0.02	0.28	0.084	0.176	0.072	0.032	0.04	0.012	0.008	0.012	0.012	0.06	0.008	0.264	0.228	0.016	0.04	0.164	0.02	0.94	0.048	0.008	0.072	0.02	0.044	0.032	0.092	0.048	0.024	0.008	0.024	0.008	0.004
DNMT3A	0.268	0.012	0.692	0.016	0.02	0.036	0.004	0.024	0.688	0.016	0.332	0.036	0.04	0.012	0	0.02	0.004	0.012	0.104	0.024	0.336	0.352	0.016	0.004	0.196	0.008	0.768	0.032	0.016	0.032	0.004	0.016	0.024	0.02	0.008	0.008	0.008	0.012	0.04	0.016
IRF4	0	0.004	0.008	0	0	0	0	0	0.016	0	0.008	0.008	0	0	0.004	0	0	0	0	0.004	0.012	0	0	0	0.008	0	0.04	0	0	0	0	0.004	0	0	0.004	0	0	0	0	0
CD274	0.044	0.012	0.152	0	0.02	0.012	0	0.008	0.312	0.016	0.296	0.028	0.032	0.012	0.02	0.004	0.004	0.032	0.004	0	0.084	0.192	0.004	0.008	0.092	0.008	0.608	0.024	0.024	0.02	0	0.008	0.032	0.012	0.048	0.012	0.004	0.004	0	0.008
